Manufacturer Part Number	Digi-Key Part Number	Description	Manufacturer	Packaging	PnP Feeder	Unit Price
ALT3232M-151-T001	445-174375-1-ND	PULSE XFMR 1CT:1CT 150UH				1.1515
202-0011-01	1988-1017-ND	"QFP, 32 - 100 PINS 0.5MM PITCH,"				10
8342-50G	473-1234-ND	RA ROSIN FLUX PASTE 1.28OZ				12.16
SPK0641HT4H-1	423-1425-1-ND	RAMIS MIC MULTIMODE DGT TOP PORT				0.827
RS2-20-G	2057-RS2-20-G-ND	RECEPTACLE STRIP 20P 2.54MM PITC				0.8244
SMD1NL	SMD1NL-ND	REMOVAL KIT LEAD FREE F/COMP SMD				17
CRM0805-FW-R050ELF	CRM0805-FW-R050ELFCT-ND	RES 0.05 OHM 1% 1/4W 0805				0.18042
RMCF0402JT1K50	RMCF0402JT1K50TR-ND	RES 1.5K OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
RMCF0402JT100R	RMCF0402JT100RTR-ND	RES 100 OHM 5% 1/16W 0402				0.00116
ERA-6AEB104V	P100KDADKR-ND	RES 100K OHM 0.1% 1/8W 0805				0.04984
RMCF0402JT100K	RMCF0402JT100KTR-ND	RES 100K OHM 5% 1/16W 0402				0.00116
RMCF0402JT10K0	RMCF0402JT10K0TR-ND	RES 10K OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
RMCF0805JT10M0	RMCF0805JT10M0TR-ND	RES 10M OHM 5% 1/8W 0805				0.00228
RK73B1ETTP124J	2019-RK73B1ETTP124JTR-ND	RES 120K OHM 5% 1/10W 0402				0.00165
RMCF0402JT15K0	RMCF0402JT15K0TR-ND	RES 15K OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
RNCP0805FTD1K00	RNCP0805FTD1K00TR-ND	RES 1K OHM 1% 1/4W 0805				0.00912
RMCF0402JT2K20	RMCF0402JT2K20TR-ND	RES 2.2K OHM 5% 1/16W 0402	Stackpole Electronics Inc	Tape & Reel (TR)	8mm x 2mm	
